name,category,sku,variantName,costPrice,sellingPrice,stockQuantity
Nusantara Beras 0421,Makanan,SKU-000841,5 kg,13017,18000,105
Nusantara Beras 0421,Makanan,SKU-000842,10 kg,36342,51000,59
Prima Minyak Goreng 0422,Minuman,SKU-000843,1 L,18117,24700,2
Prima Minyak Goreng 0422,Minuman,SKU-000844,2 L,57636,75000,95
Prima Minyak Goreng 0422,Minuman,SKU-000845,5 L,16146,21600,170
Sejahtera Gula 0423,Snack,SKU-000846,500 g,126969,171100,4
Maju Tepung 0424,Sembako,SKU-000847,500 g,2033,2700,105
Maju Tepung 0424,Sembako,SKU-000848,1 kg,3406,3900,184
Jaya Kopi 0425,Perawatan Diri,SKU-000849,100 g,72321,94800,73
Jaya Kopi 0425,Perawatan Diri,SKU-000850,200 g,4793,6200,178
Jaya Kopi 0425,Perawatan Diri,SKU-000851,500 g,113172,157500,45
Sentosa Teh 0426,Kebersihan,SKU-000852,25 sachet,28353,40400,134
Makmur Susu 0427,Elektronik,SKU-000853,200 ml,39332,48100,158
Makmur Susu 0427,Elektronik,SKU-000854,1 L,138307,169500,90
Fresh Air Mineral 0428,ATK,SKU-000855,330 ml,70377,97700,20
Fresh Air Mineral 0428,ATK,SKU-000856,600 ml,98093,141000,117
Fresh Air Mineral 0428,ATK,SKU-000857,1.5 L,148411,181500,178
Daily Mie Instan 0429,Rumah Tangga,SKU-000858,Original,59507,73800,20
Choice Biskuit 0430,Kesehatan,SKU-000859,50 g,8605,10100,97
Choice Biskuit 0430,Kesehatan,SKU-000860,100 g,99172,130500,14
Max Keripik 0431,Makanan,SKU-000861,50 g,2777,3800,21
Max Keripik 0431,Makanan,SKU-000862,100 g,131334,184300,165
Max Keripik 0431,Makanan,SKU-000863,250 g,87140,115000,24
Plus Saus 0432,Minuman,SKU-000864,135 ml,138753,197800,58
Nusantara Kecap 0433,Snack,SKU-000865,135 ml,55721,79100,177
Nusantara Kecap 0433,Snack,SKU-000866,275 ml,148879,192400,11
Prima Sabun Mandi 0434,Sembako,SKU-000867,70 g,19789,26800,71
Prima Sabun Mandi 0434,Sembako,SKU-000868,100 g,142652,188200,8
Prima Sabun Mandi 0434,Sembako,SKU-000869,250 g,47316,67600,80
Sejahtera Shampoo 0435,Perawatan Diri,SKU-000870,170 ml,4404,6300,150
Maju Pasta Gigi 0436,Kebersihan,SKU-000871,75 g,38098,52400,182
Maju Pasta Gigi 0436,Kebersihan,SKU-000872,120 g,104710,149600,76
Jaya Detergen 0437,Elektronik,SKU-000873,500 g,42885,56600,145
Jaya Detergen 0437,Elektronik,SKU-000874,1 kg,102315,138400,138
Jaya Detergen 0437,Elektronik,SKU-000875,2.5 kg,87260,110400,189
Sentosa Tisu 0438,ATK,SKU-000876,10 sheets,36987,51300,176
Makmur Pewangi 0439,Rumah Tangga,SKU-000877,250 ml,20859,27100,88
Makmur Pewangi 0439,Rumah Tangga,SKU-000878,450 ml,14376,17000,59
Fresh Pulpen 0440,Kesehatan,SKU-000879,0.5 mm,20227,25300,196
Fresh Pulpen 0440,Kesehatan,SKU-000880,0.7 mm,104293,150300,83
Fresh Pulpen 0440,Kesehatan,SKU-000881,1.0 mm,8066,10800,200
Daily Buku Tulis 0441,Makanan,SKU-000882,38 sheets,118409,153600,91
Choice Lampu LED 0442,Minuman,SKU-000883,5 W,145275,208100,110
Choice Lampu LED 0442,Minuman,SKU-000884,9 W,48990,66300,169
Max Baterai 0443,Snack,SKU-000885,AA,99933,117500,158
Max Baterai 0443,Snack,SKU-000886,AAA,77731,108000,182
Max Baterai 0443,Snack,SKU-000887,9V,19569,23000,39
Plus Kabel USB 0444,Sembako,SKU-000888,1 m,99914,136200,162
Nusantara Sapu 0445,Perawatan Diri,SKU-000889,Standard,40742,55900,81
Nusantara Sapu 0445,Perawatan Diri,SKU-000890,Premium,94855,112100,1
Prima Pel 0446,Kebersihan,SKU-000891,Standard,81110,104100,194
Prima Pel 0446,Kebersihan,SKU-000892,Microfiber,71017,83800,22
Prima Pel 0446,Kebersihan,SKU-000893,Spray,49423,63200,142
Sejahtera Spons 0447,Elektronik,SKU-000894,Small,145721,190000,26
Maju Vitamin 0448,ATK,SKU-000895,30 tablets,7184,8500,141
Maju Vitamin 0448,ATK,SKU-000896,60 tablets,24696,32800,200
Jaya Masker 0449,Rumah Tangga,SKU-000897,10 pcs,85347,120300,3
Jaya Masker 0449,Rumah Tangga,SKU-000898,25 pcs,76806,97900,199
Jaya Masker 0449,Rumah Tangga,SKU-000899,50 pcs,22503,30800,143
Sentosa Hand Sanitizer 0450,Kesehatan,SKU-000900,60 ml,63933,84500,43
Makmur Beras 0451,Makanan,SKU-000901,5 kg,100106,120200,68
Makmur Beras 0451,Makanan,SKU-000902,10 kg,79239,97500,37
Fresh Minyak Goreng 0452,Minuman,SKU-000903,1 L,16885,20300,70
Fresh Minyak Goreng 0452,Minuman,SKU-000904,2 L,110689,137200,200
Fresh Minyak Goreng 0452,Minuman,SKU-000905,5 L,20464,25800,63
Daily Gula 0453,Snack,SKU-000906,500 g,130271,173000,50
Choice Tepung 0454,Sembako,SKU-000907,500 g,120325,142200,77
Choice Tepung 0454,Sembako,SKU-000908,1 kg,2074,3000,85
Max Kopi 0455,Perawatan Diri,SKU-000909,100 g,99885,139000,84
Max Kopi 0455,Perawatan Diri,SKU-000910,200 g,115701,144700,166
Max Kopi 0455,Perawatan Diri,SKU-000911,500 g,35984,44600,154
Plus Teh 0456,Kebersihan,SKU-000912,25 sachet,52952,68500,45
Nusantara Susu 0457,Elektronik,SKU-000913,200 ml,104696,150800,74
Nusantara Susu 0457,Elektronik,SKU-000914,1 L,129014,185800,200
Prima Air Mineral 0458,ATK,SKU-000915,330 ml,63850,79700,71
Prima Air Mineral 0458,ATK,SKU-000916,600 ml,103305,130100,144
Prima Air Mineral 0458,ATK,SKU-000917,1.5 L,52676,69900,139
Sejahtera Mie Instan 0459,Rumah Tangga,SKU-000918,Original,47466,64300,140
Maju Biskuit 0460,Kesehatan,SKU-000919,50 g,7355,10600,118
Maju Biskuit 0460,Kesehatan,SKU-000920,100 g,55258,70800,74
Jaya Keripik 0461,Makanan,SKU-000921,50 g,18429,25700,104
Jaya Keripik 0461,Makanan,SKU-000922,100 g,131189,156300,77
Jaya Keripik 0461,Makanan,SKU-000923,250 g,63744,78100,39
Sentosa Saus 0462,Minuman,SKU-000924,135 ml,111220,154200,18
Makmur Kecap 0463,Snack,SKU-000925,135 ml,118020,170800,122
Makmur Kecap 0463,Snack,SKU-000926,275 ml,105368,138100,177
Fresh Sabun Mandi 0464,Sembako,SKU-000927,70 g,109955,144400,92
Fresh Sabun Mandi 0464,Sembako,SKU-000928,100 g,141046,187300,21
Fresh Sabun Mandi 0464,Sembako,SKU-000929,250 g,28970,40000,168
Daily Shampoo 0465,Perawatan Diri,SKU-000930,170 ml,93363,112000,156
Choice Pasta Gigi 0466,Kebersihan,SKU-000931,75 g,11912,15700,165
Choice Pasta Gigi 0466,Kebersihan,SKU-000932,120 g,105057,151300,84
Max Detergen 0467,Elektronik,SKU-000933,500 g,113141,133700,25
Max Detergen 0467,Elektronik,SKU-000934,1 kg,68126,82900,191
Max Detergen 0467,Elektronik,SKU-000935,2.5 kg,136299,179600,176
Plus Tisu 0468,ATK,SKU-000936,10 sheets,58242,74800,100
Nusantara Pewangi 0469,Rumah Tangga,SKU-000937,250 ml,121689,168100,150
Nusantara Pewangi 0469,Rumah Tangga,SKU-000938,450 ml,131494,157200,6
Prima Pulpen 0470,Kesehatan,SKU-000939,0.5 mm,126855,149900,106
Prima Pulpen 0470,Kesehatan,SKU-000940,0.7 mm,22806,27000,186
Prima Pulpen 0470,Kesehatan,SKU-000941,1.0 mm,37439,47000,87
Sejahtera Buku Tulis 0471,Makanan,SKU-000942,38 sheets,119662,165800,133
Maju Lampu LED 0472,Minuman,SKU-000943,5 W,126896,159200,24
Maju Lampu LED 0472,Minuman,SKU-000944,9 W,115162,157400,115
Jaya Baterai 0473,Snack,SKU-000945,AA,83900,98200,11
Jaya Baterai 0473,Snack,SKU-000946,AAA,30468,35200,87
Jaya Baterai 0473,Snack,SKU-000947,9V,28968,39200,42
Sentosa Kabel USB 0474,Sembako,SKU-000948,1 m,64240,83800,141
Makmur Sapu 0475,Perawatan Diri,SKU-000949,Standard,42278,52800,109
Makmur Sapu 0475,Perawatan Diri,SKU-000950,Premium,121424,148100,103
Fresh Pel 0476,Kebersihan,SKU-000951,Standard,48652,58700,168
Fresh Pel 0476,Kebersihan,SKU-000952,Microfiber,113581,144100,188
Fresh Pel 0476,Kebersihan,SKU-000953,Spray,52027,66800,109
Daily Spons 0477,Elektronik,SKU-000954,Small,102230,117700,54
Choice Vitamin 0478,ATK,SKU-000955,30 tablets,54245,66900,180
Choice Vitamin 0478,ATK,SKU-000956,60 tablets,16700,22100,137
Max Masker 0479,Rumah Tangga,SKU-000957,10 pcs,49310,62100,50
Max Masker 0479,Rumah Tangga,SKU-000958,25 pcs,120244,142400,171
Max Masker 0479,Rumah Tangga,SKU-000959,50 pcs,128615,168300,163
Plus Hand Sanitizer 0480,Kesehatan,SKU-000960,60 ml,82457,109600,156
Nusantara Beras 0481,Makanan,SKU-000961,5 kg,103203,136900,89
Nusantara Beras 0481,Makanan,SKU-000962,10 kg,92570,129900,158
Prima Minyak Goreng 0482,Minuman,SKU-000963,1 L,45527,63500,180
Prima Minyak Goreng 0482,Minuman,SKU-000964,2 L,78273,111600,151
Prima Minyak Goreng 0482,Minuman,SKU-000965,5 L,22517,30400,80
Sejahtera Gula 0483,Snack,SKU-000966,500 g,31196,38100,29
Maju Tepung 0484,Sembako,SKU-000967,500 g,48284,60900,36
Maju Tepung 0484,Sembako,SKU-000968,1 kg,134209,170000,152
Jaya Kopi 0485,Perawatan Diri,SKU-000969,100 g,36441,48200,108
Jaya Kopi 0485,Perawatan Diri,SKU-000970,200 g,48994,63500,137
Jaya Kopi 0485,Perawatan Diri,SKU-000971,500 g,45712,60200,125
Sentosa Teh 0486,Kebersihan,SKU-000972,25 sachet,76016,90600,80
Makmur Susu 0487,Elektronik,SKU-000973,200 ml,118527,158300,91
Makmur Susu 0487,Elektronik,SKU-000974,1 L,2812,3600,49
Fresh Air Mineral 0488,ATK,SKU-000975,330 ml,100948,145300,129
Fresh Air Mineral 0488,ATK,SKU-000976,600 ml,130053,165500,125
Fresh Air Mineral 0488,ATK,SKU-000977,1.5 L,109255,148900,113
Daily Mie Instan 0489,Rumah Tangga,SKU-000978,Original,128409,154100,144
Choice Biskuit 0490,Kesehatan,SKU-000979,50 g,8389,11700,56
Choice Biskuit 0490,Kesehatan,SKU-000980,100 g,76869,89200,57
Max Keripik 0491,Makanan,SKU-000981,50 g,141230,174600,199
Max Keripik 0491,Makanan,SKU-000982,100 g,120184,158600,197
Max Keripik 0491,Makanan,SKU-000983,250 g,130143,171100,28
Plus Saus 0492,Minuman,SKU-000984,135 ml,30238,37200,139
Nusantara Kecap 0493,Snack,SKU-000985,135 ml,96470,126600,193
Nusantara Kecap 0493,Snack,SKU-000986,275 ml,11207,15400,112
Prima Sabun Mandi 0494,Sembako,SKU-000987,70 g,143523,174500,108
Prima Sabun Mandi 0494,Sembako,SKU-000988,100 g,27147,37200,167
Prima Sabun Mandi 0494,Sembako,SKU-000989,250 g,65188,80800,8
Sejahtera Shampoo 0495,Perawatan Diri,SKU-000990,170 ml,118194,145200,22
Maju Pasta Gigi 0496,Kebersihan,SKU-000991,75 g,115399,162700,30
Maju Pasta Gigi 0496,Kebersihan,SKU-000992,120 g,62413,75700,188
Jaya Detergen 0497,Elektronik,SKU-000993,500 g,92215,129900,156
Jaya Detergen 0497,Elektronik,SKU-000994,1 kg,112541,135000,35
Jaya Detergen 0497,Elektronik,SKU-000995,2.5 kg,54464,75900,15
Sentosa Tisu 0498,ATK,SKU-000996,10 sheets,149741,188000,71
Makmur Pewangi 0499,Rumah Tangga,SKU-000997,250 ml,141534,169900,180
Makmur Pewangi 0499,Rumah Tangga,SKU-000998,450 ml,77012,95200,68
Fresh Pulpen 0500,Kesehatan,SKU-000999,0.5 mm,135150,195400,173
Fresh Pulpen 0500,Kesehatan,SKU-001000,0.7 mm,25262,30100,192
Fresh Pulpen 0500,Kesehatan,SKU-001001,1.0 mm,108197,154200,70
Daily Buku Tulis 0501,Makanan,SKU-001002,38 sheets,33562,45700,33
Choice Lampu LED 0502,Minuman,SKU-001003,5 W,65751,78500,82
Choice Lampu LED 0502,Minuman,SKU-001004,9 W,65194,89900,173
Max Baterai 0503,Snack,SKU-001005,AA,103244,133900,147
Max Baterai 0503,Snack,SKU-001006,AAA,70742,94700,96
Max Baterai 0503,Snack,SKU-001007,9V,118786,139300,196
Plus Kabel USB 0504,Sembako,SKU-001008,1 m,24704,31400,191
Nusantara Sapu 0505,Perawatan Diri,SKU-001009,Standard,73235,99500,94
Nusantara Sapu 0505,Perawatan Diri,SKU-001010,Premium,119495,171500,83
Prima Pel 0506,Kebersihan,SKU-001011,Standard,948,1300,187
Prima Pel 0506,Kebersihan,SKU-001012,Microfiber,24716,33800,117
Prima Pel 0506,Kebersihan,SKU-001013,Spray,94205,132400,136
Sejahtera Spons 0507,Elektronik,SKU-001014,Small,104558,127100,109
Maju Vitamin 0508,ATK,SKU-001015,30 tablets,55835,72500,82
Maju Vitamin 0508,ATK,SKU-001016,60 tablets,74642,93400,147
Jaya Masker 0509,Rumah Tangga,SKU-001017,10 pcs,34534,45600,124
Jaya Masker 0509,Rumah Tangga,SKU-001018,25 pcs,90409,128200,195
Jaya Masker 0509,Rumah Tangga,SKU-001019,50 pcs,12990,15100,160
Sentosa Hand Sanitizer 0510,Kesehatan,SKU-001020,60 ml,120776,139500,40
Makmur Beras 0511,Makanan,SKU-001021,5 kg,115980,149300,109
Makmur Beras 0511,Makanan,SKU-001022,10 kg,53336,77300,33
Fresh Minyak Goreng 0512,Minuman,SKU-001023,1 L,79432,95100,70
Fresh Minyak Goreng 0512,Minuman,SKU-001024,2 L,24768,33300,64
Fresh Minyak Goreng 0512,Minuman,SKU-001025,5 L,21906,27600,166
Daily Gula 0513,Snack,SKU-001026,500 g,43691,50900,160
Choice Tepung 0514,Sembako,SKU-001027,500 g,80387,110000,193
Choice Tepung 0514,Sembako,SKU-001028,1 kg,61679,78900,23
Max Kopi 0515,Perawatan Diri,SKU-001029,100 g,25251,29000,122
Max Kopi 0515,Perawatan Diri,SKU-001030,200 g,20731,24700,57
Max Kopi 0515,Perawatan Diri,SKU-001031,500 g,136469,184800,2
Plus Teh 0516,Kebersihan,SKU-001032,25 sachet,2413,3300,30
Nusantara Susu 0517,Elektronik,SKU-001033,200 ml,111007,150800,122
Nusantara Susu 0517,Elektronik,SKU-001034,1 L,18867,23000,22
Prima Air Mineral 0518,ATK,SKU-001035,330 ml,27150,32100,94
Prima Air Mineral 0518,ATK,SKU-001036,600 ml,78747,93800,198
Prima Air Mineral 0518,ATK,SKU-001037,1.5 L,35203,47300,173
Sejahtera Mie Instan 0519,Rumah Tangga,SKU-001038,Original,37748,44200,144
Maju Biskuit 0520,Kesehatan,SKU-001039,50 g,2521,3400,42
Maju Biskuit 0520,Kesehatan,SKU-001040,100 g,115669,145200,54
Jaya Keripik 0521,Makanan,SKU-001041,50 g,39981,57000,157
Jaya Keripik 0521,Makanan,SKU-001042,100 g,116268,163700,22
Jaya Keripik 0521,Makanan,SKU-001043,250 g,26636,31800,31
Sentosa Saus 0522,Minuman,SKU-001044,135 ml,100971,126800,109
Makmur Kecap 0523,Snack,SKU-001045,135 ml,82745,114800,63
Makmur Kecap 0523,Snack,SKU-001046,275 ml,72905,97900,63
Fresh Sabun Mandi 0524,Sembako,SKU-001047,70 g,145369,193400,184
Fresh Sabun Mandi 0524,Sembako,SKU-001048,100 g,74990,103800,176
Fresh Sabun Mandi 0524,Sembako,SKU-001049,250 g,7331,10300,168
Daily Shampoo 0525,Perawatan Diri,SKU-001050,170 ml,79375,96200,155
Choice Pasta Gigi 0526,Kebersihan,SKU-001051,75 g,133868,161500,100
Choice Pasta Gigi 0526,Kebersihan,SKU-001052,120 g,77774,104500,200
Max Detergen 0527,Elektronik,SKU-001053,500 g,63041,81900,28
Max Detergen 0527,Elektronik,SKU-001054,1 kg,63498,82500,152
Max Detergen 0527,Elektronik,SKU-001055,2.5 kg,18915,24800,3
Plus Tisu 0528,ATK,SKU-001056,10 sheets,94959,135800,33
Nusantara Pewangi 0529,Rumah Tangga,SKU-001057,250 ml,101707,143200,145
Nusantara Pewangi 0529,Rumah Tangga,SKU-001058,450 ml,110626,139300,174
Prima Pulpen 0530,Kesehatan,SKU-001059,0.5 mm,45590,62900,197
Prima Pulpen 0530,Kesehatan,SKU-001060,0.7 mm,19434,22400,17
Prima Pulpen 0530,Kesehatan,SKU-001061,1.0 mm,3915,4800,10
Sejahtera Buku Tulis 0531,Makanan,SKU-001062,38 sheets,16151,23200,101
Maju Lampu LED 0532,Minuman,SKU-001063,5 W,133104,164500,182
Maju Lampu LED 0532,Minuman,SKU-001064,9 W,131646,181700,108
Jaya Baterai 0533,Snack,SKU-001065,AA,105754,124200,137
Jaya Baterai 0533,Snack,SKU-001066,AAA,141243,188500,71
Jaya Baterai 0533,Snack,SKU-001067,9V,22214,27600,130
Sentosa Kabel USB 0534,Sembako,SKU-001068,1 m,53567,77300,39
Makmur Sapu 0535,Perawatan Diri,SKU-001069,Standard,140911,175900,150
Makmur Sapu 0535,Perawatan Diri,SKU-001070,Premium,17631,21900,111
Fresh Pel 0536,Kebersihan,SKU-001071,Standard,62857,73400,22
Fresh Pel 0536,Kebersihan,SKU-001072,Microfiber,114197,135300,156
Fresh Pel 0536,Kebersihan,SKU-001073,Spray,14725,18300,189
Daily Spons 0537,Elektronik,SKU-001074,Small,46344,55000,181
Choice Vitamin 0538,ATK,SKU-001075,30 tablets,36269,49300,41
Choice Vitamin 0538,ATK,SKU-001076,60 tablets,130431,187300,133
Max Masker 0539,Rumah Tangga,SKU-001077,10 pcs,135886,188200,184
Max Masker 0539,Rumah Tangga,SKU-001078,25 pcs,68260,81900,32
Max Masker 0539,Rumah Tangga,SKU-001079,50 pcs,70754,96900,30
Plus Hand Sanitizer 0540,Kesehatan,SKU-001080,60 ml,7995,10000,109
Nusantara Beras 0541,Makanan,SKU-001081,5 kg,71598,93600,67
Nusantara Beras 0541,Makanan,SKU-001082,10 kg,20503,26600,130
Prima Minyak Goreng 0542,Minuman,SKU-001083,1 L,94704,110500,145
Prima Minyak Goreng 0542,Minuman,SKU-001084,2 L,44046,55500,65
Prima Minyak Goreng 0542,Minuman,SKU-001085,5 L,27275,38700,172
Sejahtera Gula 0543,Snack,SKU-001086,500 g,30534,37200,130
Maju Tepung 0544,Sembako,SKU-001087,500 g,973,1100,3
Maju Tepung 0544,Sembako,SKU-001088,1 kg,64407,75000,93
Jaya Kopi 0545,Perawatan Diri,SKU-001089,100 g,100695,143600,45
Jaya Kopi 0545,Perawatan Diri,SKU-001090,200 g,9570,12600,182
Jaya Kopi 0545,Perawatan Diri,SKU-001091,500 g,110235,134200,63
Sentosa Teh 0546,Kebersihan,SKU-001092,25 sachet,109419,155900,81
Makmur Susu 0547,Elektronik,SKU-001093,200 ml,71408,99800,146
Makmur Susu 0547,Elektronik,SKU-001094,1 L,98029,116200,172
Fresh Air Mineral 0548,ATK,SKU-001095,330 ml,14107,17000,132
Fresh Air Mineral 0548,ATK,SKU-001096,600 ml,12339,17700,17
Fresh Air Mineral 0548,ATK,SKU-001097,1.5 L,122221,172300,198
Daily Mie Instan 0549,Rumah Tangga,SKU-001098,Original,81747,102000,141
Choice Biskuit 0550,Kesehatan,SKU-001099,50 g,120033,138300,51
Choice Biskuit 0550,Kesehatan,SKU-001100,100 g,76739,101200,77
Max Keripik 0551,Makanan,SKU-001101,50 g,63891,82400,151
Max Keripik 0551,Makanan,SKU-001102,100 g,129631,187900,198
Max Keripik 0551,Makanan,SKU-001103,250 g,51528,70600,139
Plus Saus 0552,Minuman,SKU-001104,135 ml,64558,77200,104
Nusantara Kecap 0553,Snack,SKU-001105,135 ml,6567,8000,88
Nusantara Kecap 0553,Snack,SKU-001106,275 ml,2815,4000,0
Prima Sabun Mandi 0554,Sembako,SKU-001107,70 g,98938,139000,186
Prima Sabun Mandi 0554,Sembako,SKU-001108,100 g,80912,95600,135
Prima Sabun Mandi 0554,Sembako,SKU-001109,250 g,62734,80000,15
Sejahtera Shampoo 0555,Perawatan Diri,SKU-001110,170 ml,37622,51300,23
Maju Pasta Gigi 0556,Kebersihan,SKU-001111,75 g,11808,16800,133
Maju Pasta Gigi 0556,Kebersihan,SKU-001112,120 g,108580,147700,95
Jaya Detergen 0557,Elektronik,SKU-001113,500 g,120482,173800,21
Jaya Detergen 0557,Elektronik,SKU-001114,1 kg,25354,33000,163
Jaya Detergen 0557,Elektronik,SKU-001115,2.5 kg,103676,121600,145
Sentosa Tisu 0558,ATK,SKU-001116,10 sheets,16627,21300,33
Makmur Pewangi 0559,Rumah Tangga,SKU-001117,250 ml,62368,77200,80
Makmur Pewangi 0559,Rumah Tangga,SKU-001118,450 ml,103310,140500,188
Fresh Pulpen 0560,Kesehatan,SKU-001119,0.5 mm,85824,106900,69
Fresh Pulpen 0560,Kesehatan,SKU-001120,0.7 mm,61539,72100,51
Fresh Pulpen 0560,Kesehatan,SKU-001121,1.0 mm,35980,49800,149
Daily Buku Tulis 0561,Makanan,SKU-001122,38 sheets,28866,34500,42
Choice Lampu LED 0562,Minuman,SKU-001123,5 W,118151,152400,104
Choice Lampu LED 0562,Minuman,SKU-001124,9 W,31950,41900,197
Max Baterai 0563,Snack,SKU-001125,AA,54730,70400,118
Max Baterai 0563,Snack,SKU-001126,AAA,69770,98100,23
Max Baterai 0563,Snack,SKU-001127,9V,41617,57900,77
Plus Kabel USB 0564,Sembako,SKU-001128,1 m,10872,13200,83
Nusantara Sapu 0565,Perawatan Diri,SKU-001129,Standard,39182,46100,63
Nusantara Sapu 0565,Perawatan Diri,SKU-001130,Premium,93555,118700,12
Prima Pel 0566,Kebersihan,SKU-001131,Standard,78639,96600,44
Prima Pel 0566,Kebersihan,SKU-001132,Microfiber,8447,12100,115
Prima Pel 0566,Kebersihan,SKU-001133,Spray,146039,200700,63
Sejahtera Spons 0567,Elektronik,SKU-001134,Small,25131,32400,35
Maju Vitamin 0568,ATK,SKU-001135,30 tablets,32138,37100,199
Maju Vitamin 0568,ATK,SKU-001136,60 tablets,58571,69700,102
Jaya Masker 0569,Rumah Tangga,SKU-001137,10 pcs,97880,132700,165
Jaya Masker 0569,Rumah Tangga,SKU-001138,25 pcs,22330,29600,66
Jaya Masker 0569,Rumah Tangga,SKU-001139,50 pcs,19957,23100,16
Sentosa Hand Sanitizer 0570,Kesehatan,SKU-001140,60 ml,52139,74100,113
Makmur Beras 0571,Makanan,SKU-001141,5 kg,34061,40100,84
Makmur Beras 0571,Makanan,SKU-001142,10 kg,32419,37700,118
Fresh Minyak Goreng 0572,Minuman,SKU-001143,1 L,13574,16300,146
Fresh Minyak Goreng 0572,Minuman,SKU-001144,2 L,113849,159000,101
Fresh Minyak Goreng 0572,Minuman,SKU-001145,5 L,130356,151100,174
Daily Gula 0573,Snack,SKU-001146,500 g,112147,134800,54
Choice Tepung 0574,Sembako,SKU-001147,500 g,49360,60800,114
Choice Tepung 0574,Sembako,SKU-001148,1 kg,39262,45600,158
Max Kopi 0575,Perawatan Diri,SKU-001149,100 g,64731,87000,127
Max Kopi 0575,Perawatan Diri,SKU-001150,200 g,108301,153200,122
Max Kopi 0575,Perawatan Diri,SKU-001151,500 g,16285,19200,98
Plus Teh 0576,Kebersihan,SKU-001152,25 sachet,36275,46300,164
Nusantara Susu 0577,Elektronik,SKU-001153,200 ml,138139,169200,139
Nusantara Susu 0577,Elektronik,SKU-001154,1 L,5419,7800,200
Prima Air Mineral 0578,ATK,SKU-001155,330 ml,94439,122200,200
Prima Air Mineral 0578,ATK,SKU-001156,600 ml,127355,159600,144
Prima Air Mineral 0578,ATK,SKU-001157,1.5 L,131999,164500,69
Sejahtera Mie Instan 0579,Rumah Tangga,SKU-001158,Original,47437,54900,152
Maju Biskuit 0580,Kesehatan,SKU-001159,50 g,57714,66900,199
Maju Biskuit 0580,Kesehatan,SKU-001160,100 g,73944,86300,120
Jaya Keripik 0581,Makanan,SKU-001161,50 g,139087,174900,149
Jaya Keripik 0581,Makanan,SKU-001162,100 g,61317,88400,25
Jaya Keripik 0581,Makanan,SKU-001163,250 g,65274,87900,68
Sentosa Saus 0582,Minuman,SKU-001164,135 ml,140203,195600,188
Makmur Kecap 0583,Snack,SKU-001165,135 ml,14956,20600,56
Makmur Kecap 0583,Snack,SKU-001166,275 ml,102122,128300,44
Fresh Sabun Mandi 0584,Sembako,SKU-001167,70 g,46463,56700,81
Fresh Sabun Mandi 0584,Sembako,SKU-001168,100 g,94352,134400,7
Fresh Sabun Mandi 0584,Sembako,SKU-001169,250 g,92491,132700,144
Daily Shampoo 0585,Perawatan Diri,SKU-001170,170 ml,37551,49500,48
Choice Pasta Gigi 0586,Kebersihan,SKU-001171,75 g,129334,169800,44
Choice Pasta Gigi 0586,Kebersihan,SKU-001172,120 g,128864,149700,14
Max Detergen 0587,Elektronik,SKU-001173,500 g,61280,81500,5
Max Detergen 0587,Elektronik,SKU-001174,1 kg,138305,178900,84
Max Detergen 0587,Elektronik,SKU-001175,2.5 kg,53112,73900,87
Plus Tisu 0588,ATK,SKU-001176,10 sheets,46820,66700,82
Nusantara Pewangi 0589,Rumah Tangga,SKU-001177,250 ml,15912,18400,150
Nusantara Pewangi 0589,Rumah Tangga,SKU-001178,450 ml,37433,51700,134
Prima Pulpen 0590,Kesehatan,SKU-001179,0.5 mm,95953,138000,95
Prima Pulpen 0590,Kesehatan,SKU-001180,0.7 mm,104003,137900,86
Prima Pulpen 0590,Kesehatan,SKU-001181,1.0 mm,79405,99000,40
Sejahtera Buku Tulis 0591,Makanan,SKU-001182,38 sheets,114822,159300,124
Maju Lampu LED 0592,Minuman,SKU-001183,5 W,83473,100400,143
Maju Lampu LED 0592,Minuman,SKU-001184,9 W,93839,114200,150
Jaya Baterai 0593,Snack,SKU-001185,AA,46267,58500,187
Jaya Baterai 0593,Snack,SKU-001186,AAA,77505,92100,186
Jaya Baterai 0593,Snack,SKU-001187,9V,771,1100,146
Sentosa Kabel USB 0594,Sembako,SKU-001188,1 m,102955,144700,197
Makmur Sapu 0595,Perawatan Diri,SKU-001189,Standard,149062,172900,154
Makmur Sapu 0595,Perawatan Diri,SKU-001190,Premium,83718,119400,156
Fresh Pel 0596,Kebersihan,SKU-001191,Standard,58206,78100,26
Fresh Pel 0596,Kebersihan,SKU-001192,Microfiber,130371,155400,190
Fresh Pel 0596,Kebersihan,SKU-001193,Spray,20696,25300,81
Daily Spons 0597,Elektronik,SKU-001194,Small,44310,59400,22
Choice Vitamin 0598,ATK,SKU-001195,30 tablets,88314,113400,67
Choice Vitamin 0598,ATK,SKU-001196,60 tablets,55267,67700,17
Max Masker 0599,Rumah Tangga,SKU-001197,10 pcs,92176,113100,27
Max Masker 0599,Rumah Tangga,SKU-001198,25 pcs,635,700,112
Max Masker 0599,Rumah Tangga,SKU-001199,50 pcs,110309,158900,105
Plus Hand Sanitizer 0600,Kesehatan,SKU-001200,60 ml,129558,183300,89
Nusantara Beras 0601,Makanan,SKU-001201,5 kg,143436,181100,122
Nusantara Beras 0601,Makanan,SKU-001202,10 kg,59435,71300,18
Prima Minyak Goreng 0602,Minuman,SKU-001203,1 L,9058,11200,81
Prima Minyak Goreng 0602,Minuman,SKU-001204,2 L,68753,98700,18
Prima Minyak Goreng 0602,Minuman,SKU-001205,5 L,89902,108000,96
